Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID42053 : ID42109),1,42053,42109,0.975,0.500,413.416,64.960,0,0.987,0.987,None
(ID42109 : ID42024),1,42109,42024,0.765,1.500,413.319,65.023,0,0.875,0.875,None
(ID42024 : ID42080),1,42024,42080,1.241,2.500,413.785,64.712,0,1.114,1.114,None
(ID42080 : ID42135),1,42080,42135,2.859,3.500,414.181,63.998,0,1.691,1.691,None
(ID42135 : ID42166),1,42135,42166,0.849,4.500,414.120,63.618,0,0.921,0.921,None
(ID42166 : ID42196),1,42166,42196,0.926,5.500,413.900,64.442,0,0.962,0.962,None
(ID42196 : ID42225),1,42196,42225,6.378,6.500,414.851,64.927,0,2.525,2.525,None
(ID42225 : ID42281),1,42225,42281,4.594,7.500,415.766,64.026,0,2.143,2.143,None
(ID42281 : ID42253),1,42281,42253,0.366,8.500,415.325,62.724,0,0.605,0.605,None
(ID42253 : ID42309),1,42253,42309,10.745,9.500,414.208,61.154,0,3.278,3.278,None
(ID42309 : ID42339),1,42309,42339,3.537,10.500,413.141,58.932,0,1.881,1.881,None
(ID42339 : ID42368),1,42339,42368,6.598,11.500,412.531,59.148,0,2.569,2.569,None
(ID42368 : ID42398),1,42368,42398,5.490,12.500,412.398,59.212,0,2.343,2.343,None
(ID42398 : ID42453),1,42398,42453,33.716,13.500,412.206,55.286,0,5.807,5.807,None
(ID42453 : ID42425),1,42453,42425,18.222,14.500,410.539,54.310,0,4.269,4.269,None
(ID42425 : ID42509),1,42425,42509,20.775,15.500,411.763,56.369,0,4.558,4.558,None
(ID42509 : ID42481),1,42509,42481,49.710,16.500,410.538,56.110,0,7.051,7.051,None
(ID42481 : ID42560),1,42481,42560,18.161,17.500,409.150,55.339,0,4.262,4.262,None
(ID42560 : ID42534),1,42560,42534,2.533,18.500,410.685,54.472,0,1.592,1.592,None
(ID42534 : ID42586),1,42534,42586,0.003,19.500,410.136,53.903,0,0.057,0.057,None
(ID42586 : ID42616),1,42586,42616,54.754,20.500,406.463,53.704,0,7.400,7.400,None
(ID42616 : ID42646),1,42616,42646,11.177,21.500,401.115,53.270,0,3.343,3.343,None
(ID42646 : ID42673),1,42646,42673,18.880,22.500,397.794,51.628,0,4.345,4.345,None
(ID42673 : ID42702),1,42673,42702,119.338,23.500,390.850,48.823,0,10.924,10.924,None
(ID42702 : ID42730),1,42702,42730,3.143,24.500,384.758,47.755,0,1.773,1.773,None
(ID42730 : ID42794),1,42730,42794,33.144,25.500,381.546,46.505,0,5.757,5.757,None
(ID42794 : ID42760),1,42794,42760,19.006,26.500,377.429,46.247,0,4.360,4.360,None
(ID42760 : ID42854),1,42760,42854,1.190,27.500,376.050,47.159,0,1.091,1.091,None
(ID42854 : ID42824),1,42854,42824,0.047,28.500,376.480,46.670,0,0.218,0.218,None
(ID42824 : ID42886),1,42824,42886,2.751,29.500,376.439,45.786,0,1.659,1.659,None
(ID42886 : ID42917),1,42886,42917,0.381,30.500,376.354,44.661,0,0.617,0.617,None
(ID42917 : ID42972),1,42917,42972,3.169,31.500,376.168,45.215,0,1.780,1.780,None
(ID42972 : ID42945),1,42972,42945,0.174,32.500,376.146,46.068,0,0.417,0.417,None
(ID42945 : ID43028),1,42945,43028,3.527,33.500,377.273,45.862,0,1.878,1.878,None
(ID43028 : ID43000),1,43028,43000,0.681,34.500,378.549,45.460,0,0.825,0.825,None
(ID43000 : ID43056),1,43000,43056,0.836,35.500,379.329,45.077,0,0.914,0.914,None
(ID43056 : ID43084),1,43056,43084,4.804,36.500,380.785,44.538,0,2.192,2.192,None
(ID43084 : ID43110),1,43084,43110,0.813,37.500,381.488,43.872,0,0.902,0.902,None
(ID43110 : ID43138),1,43110,43138,4.102,38.500,382.152,43.381,0,2.025,2.025,None
