Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_1,37,0,0,0,0,0,36,0,36,20.134,1,1,413.122,345.284,0,10.933,20.505,0.588,12.355,6.298,3.982,4.617,3.287,3.949,0.295
Track_2,96,1,1,0,0,0,96,0,96,22.722,2,2,337.674,361.380,0,3.232,15.955,0.098,2.209,2.888,4.340,5.643,3.081,4.561,0.596
Track_3,89,1,2,0,0,0,90,0,90,89.944,3,3,351.196,418.242,0,3.599,13.530,0.211,3.289,2.232,3.810,4.574,3.263,3.811,0.328
Track_4,97,0,0,0,0,0,96,0,96,43.548,4,4,619.265,391.219,0,2.753,8.997,0.472,2.371,1.711,4.361,4.812,3.774,4.384,0.242
Track_5,97,0,0,0,0,0,96,0,96,63.780,5,5,348.316,458.575,0,1.774,5.291,0.176,1.572,1.036,3.580,3.901,3.113,3.590,0.140
Track_19,28,0,0,0,0,0,27,0,27,22.111,19,19,598.734,148.040,0,3.492,7.643,1.043,3.494,1.721,4.103,4.774,3.514,4.202,0.368
Track_20,21,3,3,0,0,0,25,0,25,31.202,20,20,609.989,166.359,0,5.136,24.548,0.775,3.262,5.599,3.589,4.184,3.080,3.594,0.290
Track_36,63,0,0,0,0,0,62,11,73,134.499,36,36,194.355,27.807,0,5.030,13.991,0.150,3.992,3.731,4.283,4.877,3.345,4.271,0.325
Track_41,80,0,0,0,0,0,79,17,96,25.232,41,41,650.371,271.881,0,1.680,9.253,0.000,1.436,1.511,4.395,5.532,3.342,4.461,0.299
Track_42,49,0,0,0,0,0,48,18,66,87.801,42,42,373.235,347.079,0,5.571,16.985,0.629,4.362,4.368,4.128,5.000,3.301,4.128,0.331
Track_43,19,2,3,0,0,0,22,19,41,41.032,43,43,535.444,120.006,0,4.571,15.216,0.210,2.919,4.186,3.646,4.647,3.039,3.563,0.424
Track_49,68,3,1,0,0,0,70,26,96,18.170,49,49,556.431,131.984,0,4.352,19.252,0.251,3.512,3.560,4.227,4.672,3.657,4.235,0.198
Track_52,21,1,1,0,0,0,21,28,49,30.546,52,52,545.147,125.617,0,4.960,16.851,0.843,4.124,4.167,3.908,4.825,3.095,4.056,0.491
Track_57,24,0,0,0,0,0,23,35,58,60.364,57,57,269.710,276.314,0,6.934,18.000,0.215,6.745,5.186,4.248,4.841,3.208,4.331,0.455
Track_60,60,0,0,0,0,0,59,37,96,123.729,60,60,416.795,418.654,0,7.187,20.166,0.440,6.400,4.817,4.037,4.798,3.365,4.038,0.313
Track_64,22,2,1,0,0,0,23,42,65,65.642,64,64,540.768,121.897,0,7.350,23.182,0.296,5.172,6.168,3.771,4.295,3.033,3.963,0.385
Track_78,28,0,0,0,0,0,27,67,94,127.605,78,78,474.663,418.231,0,7.002,19.681,1.496,6.276,4.757,3.837,4.516,3.068,3.926,0.402
