Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_1,31,1,1,0,0,0,31,0,31,67.869,1,1,536.901,84.741,0,3.092,12.990,0.280,2.406,2.659,3.418,3.937,3.017,3.313,0.276
Track_4,49,1,3,0,0,0,51,0,51,66.717,4,4,317.329,235.687,0,10.104,23.567,0.361,8.732,5.843,4.223,4.630,3.021,4.230,0.277
Track_9,94,1,3,0,0,0,96,0,96,35.900,9,9,83.091,320.951,0,4.662,18.840,0.445,4.040,3.325,4.023,4.687,3.006,4.139,0.374
Track_10,70,1,4,0,0,0,73,0,73,20.869,10,10,578.652,342.501,0,1.913,7.262,0.191,1.667,1.329,3.418,3.819,3.026,3.438,0.163
Track_12,23,2,3,0,0,0,26,0,26,53.570,12,12,230.053,422.573,0,3.863,10.428,0.213,2.237,3.319,3.863,4.794,3.106,3.927,0.466
Track_13,94,2,2,0,0,0,96,0,96,35.201,13,13,430.693,435.322,0,2.501,17.253,0.110,1.608,2.823,4.101,4.846,3.310,4.110,0.388
Track_15,97,0,0,0,0,0,96,0,96,20.228,15,15,599.872,437.357,0,1.556,6.250,0.147,1.417,1.107,4.852,5.447,4.304,4.841,0.213
Track_16,43,2,1,0,0,0,44,0,44,54.862,16,16,284.939,478.488,0,4.588,16.627,0.656,3.541,3.381,4.254,5.097,3.063,4.421,0.571
Track_32,28,0,0,0,0,0,27,10,37,35.003,32,32,213.631,246.031,0,6.388,24.213,0.567,4.921,5.531,4.252,4.837,3.019,4.571,0.643
Track_33,45,3,1,0,0,0,47,11,58,63.601,33,33,387.141,43.158,0,4.665,15.343,1.003,3.501,3.540,3.468,4.162,3.019,3.439,0.240
Track_34,53,0,0,0,0,0,52,13,65,126.236,34,34,320.721,90.120,0,4.765,11.269,0.847,4.619,2.998,3.778,4.284,3.281,3.808,0.226
Track_38,67,4,4,0,0,0,73,21,94,66.957,38,38,411.545,41.954,0,4.126,14.558,0.744,3.122,3.364,3.534,4.072,3.110,3.509,0.211
Track_41,71,1,1,0,0,0,71,25,96,21.207,41,41,452.396,439.428,0,1.409,6.180,0.089,1.078,1.044,4.202,4.886,3.379,4.335,0.466
Track_42,21,2,4,0,0,0,25,25,50,39.851,42,42,276.185,443.721,0,3.697,12.961,0.772,2.381,3.198,3.994,4.848,3.061,4.122,0.544
Track_44,66,0,0,0,0,0,65,29,94,27.535,44,44,379.492,136.720,0,3.892,16.541,0.673,3.157,2.807,3.674,4.161,3.077,3.716,0.279
Track_50,18,2,3,0,0,0,21,36,57,22.537,50,50,279.899,415.273,0,5.428,23.846,0.151,2.394,6.588,4.078,4.883,3.099,4.197,0.426
Track_52,18,1,4,0,0,0,21,39,60,39.797,52,52,228.825,212.986,0,12.005,24.547,2.335,12.292,6.867,3.962,4.474,3.004,4.124,0.389
Track_57,32,1,3,0,0,0,34,48,82,31.402,57,57,274.711,367.559,0,4.573,12.060,0.493,3.613,3.363,4.802,5.069,4.382,4.814,0.168
Track_60,44,2,1,0,0,0,45,51,96,121.310,60,60,233.556,320.488,0,4.079,11.331,0.247,3.326,2.722,3.886,4.871,3.148,3.894,0.464
Track_66,29,2,3,0,0,0,32,64,96,42.125,66,66,431.080,29.475,0,3.885,10.537,0.246,3.111,2.890,3.634,4.120,3.221,3.591,0.218
