Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID28288 : ID28253),0,28288,28253,29.114,0.500,352.905,116.344,0,5.396,5.396,None
(ID28253 : ID28231),0,28253,28231,78.514,1.500,352.546,114.588,0,8.861,8.861,None
(ID28231 : ID28271),0,28231,28271,0.253,2.500,350.682,110.723,0,0.503,0.503,None
(ID28271 : ID28307),0,28271,28307,3.924,3.500,350.267,109.986,0,1.981,1.981,None
(ID28307 : ID28325),0,28307,28325,68.225,4.500,347.797,105.534,0,8.260,8.260,None
(ID28325 : ID28343),0,28325,28343,0.912,5.500,345.132,101.994,0,0.955,0.955,None
(ID28343 : ID28362),0,28343,28362,4.122,6.500,343.668,101.722,0,2.030,2.030,None
(ID28362 : ID28384),0,28362,28384,37.890,7.500,340.879,98.993,0,6.155,6.155,None
(ID28384 : ID28409),0,28384,28409,0.040,8.500,338.990,96.545,0,0.200,0.200,None
(ID28409 : ID28429),0,28409,28429,8.654,9.500,339.320,98.003,0,2.942,2.942,None
(ID28429 : ID28447),0,28429,28447,54.785,10.500,338.017,96.136,0,7.402,7.402,None
(ID28447 : ID28487),0,28447,28487,0.008,11.500,336.338,92.843,0,0.088,0.088,None
(ID28487 : ID28465),0,28487,28465,0.582,12.500,336.497,93.190,0,0.763,0.763,None
(ID28465 : ID28509),0,28465,28509,7.514,13.500,335.586,92.647,0,2.741,2.741,None
(ID28509 : ID28531),0,28509,28531,0.598,14.500,334.242,91.965,0,0.773,0.773,None
(ID28531 : ID28575),0,28531,28575,0.451,15.500,334.111,92.469,0,0.672,0.672,None
(ID28575 : ID28553),0,28575,28553,59.930,16.500,331.812,89.781,0,7.741,7.741,None
(ID28553 : ID28594),0,28553,28594,66.709,17.500,326.651,83.729,0,8.168,8.168,None
(ID28594 : ID28615),0,28594,28615,30.937,18.500,322.227,78.481,0,5.562,5.562,None
(ID28615 : ID28638),0,28615,28638,44.970,19.500,318.226,73.835,0,6.706,6.706,None
(ID28638 : ID28659),0,28638,28659,18.744,20.500,314.174,70.147,0,4.329,4.329,None
(ID28659 : ID28681),0,28659,28681,42.950,21.500,311.059,65.941,0,6.554,6.554,None
(ID28681 : ID28704),0,28681,28704,31.990,22.500,309.244,60.157,0,5.656,5.656,None
(ID28704 : ID28728),0,28704,28728,66.710,23.500,307.201,53.592,0,8.168,8.168,None
(ID28728 : ID28749),0,28728,28749,42.356,24.500,305.486,46.562,0,6.508,6.508,None
(ID28749 : ID28770),0,28749,28770,66.531,25.500,305.017,39.245,0,8.157,8.157,None
(ID28770 : ID28791),0,28770,28791,23.736,26.500,304.100,32.821,0,4.872,4.872,None
(ID28791 : ID28837),0,28791,28837,3.460,27.500,303.608,29.544,0,1.860,1.860,None
(ID28837 : ID28858),0,28837,28858,37.560,28.500,303.887,25.562,0,6.129,6.129,None
(ID28858 : ID28813),0,28858,28813,4.937,29.500,304.437,23.539,0,2.222,2.222,None
(ID28813 : ID28879),0,28813,28879,11.191,30.500,304.922,22.906,0,3.345,3.345,None
(ID28879 : ID28901),0,28879,28901,0.780,31.500,305.451,21.199,0,0.883,0.883,None
(ID28901 : ID28944),0,28901,28944,5.211,32.500,306.448,22.158,0,2.283,2.283,None
(ID28944 : ID28923),0,28944,28923,0.869,33.500,307.290,22.787,0,0.932,0.932,None
(ID28923 : ID28966),0,28923,28966,12.484,34.500,308.116,24.101,0,3.533,3.533,None
(ID28966 : ID28986),0,28966,28986,0.010,35.500,308.608,25.776,0,0.098,0.098,None
(ID28986 : ID29005),0,28986,29005,1.252,36.500,308.541,25.210,0,1.119,1.119,None
(ID29005 : ID29028),0,29005,29028,2.123,37.500,308.682,25.362,0,1.457,1.457,None
