Track Number,Velocity [µm/min]
1,0.930
2,0.580
3,0.610
4,0.560
5,0.550
6,0.350
7,0.820
8,0.730
9,0.880
10,1.090
11,0.750
12,0.770
13,0.810
14,0.530
15,0.790
16,0.660
17,0.540
18,0.640
19,1.130
20,0.670
21,0.940
22,0.950
23,0.850
24,0.570
