Track Number,Velocity [µm/min]
1,0.480
2,0.610
3,0.200
4,0.220
5,0.410
6,0.740
7,0.490
8,0.600
9,0.620
10,0.540
11,0.570
12,0.700
13,0.560
14,0.510
15,0.320
16,0.390
17,0.700
18,0.470
19,0.370
