Track Number,Velocity [µm/min]
1,0.930
2,0.290
3,1.040
4,0.810
5,0.750
6,0.860
7,1.020
8,0.810
9,0.810
10,0.960
11,0.780
12,1.060
13,0.810
14,1.030
15,0.870
16,0.580
17,1.050
18,1.350
19,0.800
20,0.750
21,0.640
22,1.010
