Track Number,Velocity [µm/min]
1,0.690
2,0.540
3,0.410
4,0.630
5,0.300
6,0.280
7,0.390
8,0.690
9,0.170
10,0.520
11,0.710
12,0.600
13,0.640
14,0.680
15,0.960
16,0.470
17,0.520
18,0.780
19,0.740
20,0.720
21,0.820
22,0.960
23,1.120
