Track Number,Velocity [µm/min]
1,0.780
2,0.650
3,0.470
4,0.340
5,0.930
6,0.690
7,0.910
8,1.060
9,0.340
10,1.250
11,0.580
12,0.910
13,0.840
14,0.790
15,0.840
16,0.710
17,0.520
