Track Number,Velocity [µm/min]
1,0.340
2,0.630
3,0.210
4,0.540
5,0.220
6,0.620
7,0.600
8,0.550
9,0.440
10,0.410
11,0.370
12,0.300
13,0.340
14,0.380
15,0.700
16,0.300
17,0.460
18,0.570
19,0.240
20,0.260
21,0.470
22,0.310
23,0.630
24,0.600
