Track Number,Velocity [µm/min]
1,0.320
2,0.390
3,0.280
4,0.500
5,0.170
6,0.390
7,0.290
8,0.550
9,0.200
10,1.050
11,0.880
12,0.150
13,0.200
14,0.740
15,0.630
16,0.310
17,0.630
