Track Number,Velocity [µm/min]
1,1.130
2,0.860
3,0.840
4,0.760
5,0.750
6,0.310
7,0.720
8,0.750
9,0.280
10,1.470
11,0.770
12,1.110
13,0.380
14,1.060
15,1.400
16,0.750
17,0.380
18,0.120
19,0.820
20,1.020
21,1.060
22,0.950
23,0.920
24,1.000
25,0.790
26,0.730
27,0.660
28,0.910
29,0.720
30,0.970
31,0.710
32,0.570
