Track Number,Velocity [µm/min]
1,1.090
2,0.320
3,0.360
4,0.280
5,0.180
6,0.350
7,0.570
8,0.500
9,0.170
10,0.560
11,0.510
12,0.460
13,0.510
14,0.690
15,0.720
16,0.750
17,0.700
