Track Number,Velocity [µm/min]
1,0.430
2,0.260
3,0.140
4,0.350
5,0.490
6,0.580
7,0.210
8,0.610
9,0.260
10,0.310
11,0.540
12,0.650
13,0.650
14,0.340
15,0.160
16,0.400
17,0.210
18,1.070
19,0.590
20,0.360
21,0.230
22,0.530
23,0.330
24,0.290
25,0.500
26,0.260
27,0.580
28,0.800
