Track Number,Velocity [µm/min]
1,0.280
2,0.280
3,0.440
4,0.180
5,0.240
6,0.240
7,0.220
8,0.290
9,0.150
10,0.510
11,0.620
12,0.220
13,0.230
14,0.550
15,0.480
16,0.270
17,0.210
