Track Number,Velocity [µm/min]
1,1.130
2,0.630
3,0.660
4,0.520
5,0.540
6,0.790
7,0.660
8,0.580
9,0.670
10,0.650
11,0.950
12,0.950
13,0.440
14,0.360
15,0.430
16,0.960
17,0.920
18,0.330
19,0.910
20,0.940
21,0.860
22,0.750
