Track Number,Velocity [µm/min]
1,0.170
2,0.340
3,0.650
4,0.350
5,0.270
6,0.450
7,0.260
8,0.320
9,0.390
10,0.500
11,0.230
12,0.330
13,0.300
14,0.630
15,0.720
