Track Number,Velocity [µm/min]
1,0.380
2,0.570
3,0.440
4,0.610
5,0.290
6,0.260
7,0.150
8,0.500
9,0.390
10,0.710
11,0.770
12,0.670
13,0.540
14,0.470
15,0.120
16,0.200
17,0.270
18,0.560
19,0.540
20,0.690
21,0.720
22,0.530
23,0.410
24,0.210
25,0.520
26,0.190
27,0.400
