Track Number,Velocity [µm/min]
1,0.350
2,0.190
3,0.500
4,0.100
5,0.350
6,0.890
7,0.070
8,0.230
9,0.760
10,0.520
11,0.490
12,0.450
13,0.930
14,0.600
15,0.730
