Track Number,Velocity [µm/min]
1,0.290
2,0.430
3,0.480
4,0.240
5,0.810
6,0.190
7,0.240
8,0.880
9,0.440
10,0.230
11,0.520
12,0.200
13,0.310
14,0.480
15,0.400
16,0.600
17,0.290
18,0.530
19,0.540
20,0.470
21,0.330
22,0.870
23,0.250
24,0.970
25,0.600
