Track Number,Velocity [µm/min]
1,0.330
2,1.020
3,0.470
4,0.200
5,0.430
6,0.250
7,0.160
8,0.480
9,0.640
10,0.510
11,0.480
12,0.450
13,0.140
14,0.400
15,0.390
16,0.550
17,1.260
18,0.480
19,0.420
20,0.450
