Track Number,Velocity [µm/min]
1,0.990
2,1.020
3,0.870
4,0.690
5,0.810
6,0.760
7,0.940
8,0.650
9,0.440
10,0.650
11,0.700
12,0.860
13,0.880
14,0.720
15,0.600
16,0.940
