Track Number,Velocity [µm/min]
1,0.210
2,0.350
3,0.240
4,0.190
5,0.250
6,0.430
7,0.320
8,0.290
9,0.300
10,0.290
11,0.240
12,0.360
13,0.420
14,0.340
