Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID68097 : ID68028),0,68097,68028,5.447,0.500,445.627,262.236,0,2.334,2.334,None
(ID68028 : ID68074),0,68028,68074,5.492,1.500,444.978,263.213,0,2.344,2.344,None
(ID68074 : ID68050),0,68074,68050,4.670,2.500,444.440,264.506,0,2.161,2.161,None
(ID68050 : ID68145),0,68050,68145,0.445,3.500,443.264,265.057,0,0.667,0.667,None
(ID68145 : ID68122),0,68145,68122,1.659,4.500,443.780,265.278,0,1.288,1.288,None
(ID68122 : ID68190),0,68122,68190,5.095,5.500,444.217,264.078,0,2.257,2.257,None
(ID68190 : ID68167),0,68190,68167,8.321,6.500,442.665,263.470,0,2.885,2.885,None
(ID68167 : ID68211),0,68167,68211,6.031,7.500,440.396,263.157,0,2.456,2.456,None
(ID68211 : ID68278),0,68211,68278,8.378,8.500,438.750,261.090,0,2.894,2.894,None
(ID68278 : ID68234),0,68278,68234,41.138,9.500,435.066,258.594,0,6.414,6.414,None
(ID68234 : ID68256),0,68234,68256,5.532,10.500,432.416,258.483,0,2.352,2.352,None
(ID68256 : ID68301),0,68256,68301,44.439,11.500,435.996,260.233,0,6.666,6.666,None
(ID68301 : ID68323),0,68301,68323,48.314,12.500,441.445,258.134,0,6.951,6.951,None
(ID68323 : ID68347),0,68323,68347,45.357,13.500,440.250,255.368,0,6.735,6.735,None
(ID68347 : ID68371),0,68347,68371,20.140,14.500,435.132,253.911,0,4.488,4.488,None
(ID68371 : ID68393),0,68371,68393,6.428,15.500,434.341,253.335,0,2.535,2.535,None
(ID68393 : ID68416),0,68393,68416,8.927,16.500,435.491,255.645,0,2.988,2.988,None
(ID68416 : ID68439),0,68416,68439,10.527,17.500,434.370,256.170,0,3.244,3.244,None
(ID68439 : ID68462),0,68439,68462,4.300,18.500,433.950,254.683,0,2.074,2.074,None
(ID68462 : ID68484),0,68462,68484,6.723,19.500,435.649,255.165,0,2.593,2.593,None
(ID68484 : ID68534),0,68484,68534,2.796,20.500,435.678,255.874,0,1.672,1.672,None
(ID68534 : ID68509),0,68534,68509,1.063,21.500,435.277,255.218,0,1.031,1.031,None
(ID68509 : ID68558),0,68509,68558,1.765,22.500,435.163,255.315,0,1.329,1.329,None
(ID68558 : ID68583),0,68558,68583,7.635,23.500,435.369,256.955,0,2.763,2.763,None
(ID68583 : ID68609),0,68583,68609,1.017,24.500,436.552,258.283,0,1.008,1.008,None
(ID68609 : ID68635),0,68609,68635,0.634,25.500,437.353,258.661,0,0.796,0.796,None
(ID68635 : ID68662),0,68635,68662,0.221,26.500,437.450,258.991,0,0.470,0.470,None
(ID68662 : ID68689),0,68662,68689,1.421,27.500,437.823,259.156,0,1.192,1.192,None
(ID68689 : ID68715),0,68689,68715,3.199,28.500,437.520,259.237,0,1.788,1.788,None
(ID68715 : ID68739),0,68715,68739,2.679,29.500,437.387,258.941,0,1.637,1.637,None
(ID68739 : ID68761),0,68739,68761,1.534,30.500,437.533,258.714,0,1.238,1.238,None
(ID68761 : ID68785),0,68761,68785,0.124,31.500,436.873,258.616,0,0.352,0.352,None
(ID68785 : ID68810),0,68785,68810,1.548,32.500,436.929,259.060,0,1.244,1.244,None
(ID68810 : ID68835),0,68810,68835,0.401,33.500,437.227,259.425,0,0.633,0.633,None
(ID68835 : ID68861),0,68835,68861,0.962,34.500,436.942,259.272,0,0.981,0.981,None
(ID68861 : ID68888),0,68861,68888,0.323,35.500,436.644,259.586,0,0.568,0.568,None
(ID68888 : ID68911),0,68888,68911,0.317,36.500,437.095,259.722,0,0.563,0.563,None
(ID68911 : ID68936),0,68911,68936,2.555,37.500,436.775,259.100,0,1.598,1.598,None
(ID68936 : ID68964),0,68936,68964,1.423,38.500,436.653,258.190,0,1.193,1.193,None
(ID68964 : ID68991),0,68964,68991,2.210,39.500,436.407,258.029,0,1.487,1.487,None
(ID68991 : ID69020),0,68991,69020,0.681,40.500,435.838,258.626,0,0.825,0.825,None
(ID69020 : ID69073),0,69020,69073,1.428,41.500,436.391,258.578,0,1.195,1.195,None
(ID69073 : ID69048),0,69073,69048,2.550,42.500,437.557,257.887,0,1.597,1.597,None
(ID69048 : ID69100),0,69048,69100,5.813,43.500,438.145,258.825,0,2.411,2.411,None
(ID69100 : ID69127),0,69100,69127,0.648,44.500,437.677,259.749,0,0.805,0.805,None
(ID69127 : ID69151),0,69127,69151,0.802,45.500,437.793,259.649,0,0.895,0.895,None
(ID69151 : ID69176),0,69151,69176,1.778,46.500,437.547,259.728,0,1.333,1.333,None
(ID69176 : ID69199),0,69176,69199,0.841,47.500,437.305,259.452,0,0.917,0.917,None
(ID69199 : ID69226),0,69199,69226,1.747,48.500,437.514,258.640,0,1.322,1.322,None
(ID69226 : ID69254),0,69226,69254,4.966,49.500,437.079,259.105,0,2.228,2.228,None
(ID69254 : ID69280),0,69254,69280,3.067,50.500,436.467,259.411,0,1.751,1.751,None
(ID69280 : ID69307),0,69280,69307,0.716,51.500,435.950,259.029,0,0.846,0.846,None
(ID69307 : ID69332),0,69307,69332,0.883,52.500,436.200,259.710,0,0.940,0.940,None
(ID69332 : ID69358),0,69332,69358,0.777,53.500,436.328,259.626,0,0.882,0.882,None
(ID69358 : ID69385),0,69358,69385,0.172,54.500,436.036,259.060,0,0.415,0.415,None
