Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_6,74,0,0,0,0,0,73,0,73,89.612,6,6,74.673,85.469,0,9.347,24.947,0.358,8.284,6.526,4.399,5.136,3.165,4.422,0.401
Track_15,89,3,2,0,0,0,92,4,96,29.850,15,15,311.856,209.313,0,2.811,12.372,0.035,2.377,2.096,4.617,4.923,4.357,4.595,0.123
Track_38,34,0,0,0,0,0,33,12,45,99.643,38,38,269.496,254.687,0,10.394,21.532,3.291,9.591,5.513,4.753,5.522,4.189,4.755,0.319
Track_45,27,1,4,0,0,0,30,14,44,102.786,45,45,276.015,480.366,0,7.767,16.807,0.052,8.374,4.499,4.557,5.441,4.100,4.517,0.293
Track_50,23,0,0,0,0,0,22,18,40,74.781,50,50,474.794,509.411,0,7.512,19.271,0.722,5.589,5.996,4.391,4.765,3.857,4.491,0.250
Track_61,41,1,4,0,0,0,44,23,67,35.816,61,61,382.364,195.017,0,8.455,19.759,1.223,7.561,5.361,4.251,4.942,3.721,4.189,0.281
Track_73,19,1,3,0,0,0,21,29,50,22.347,73,73,341.771,33.057,0,10.099,19.572,0.469,9.689,6.007,4.367,5.019,3.627,4.407,0.389
Track_76,23,0,0,0,0,0,22,28,50,53.515,76,76,38.800,207.555,0,8.102,19.855,2.060,6.726,4.643,3.806,4.404,3.077,3.916,0.382
Track_83,60,2,4,0,0,0,65,31,96,172.941,83,83,298.288,49.262,0,7.638,21.418,1.697,5.746,5.572,4.655,5.266,3.984,4.654,0.263
Track_85,36,1,1,0,0,0,36,33,69,55.517,85,85,390.785,209.534,0,9.413,22.512,0.577,9.205,5.551,4.137,4.551,3.639,4.160,0.240
Track_89,60,0,0,0,0,0,59,34,93,68.248,89,89,109.457,52.092,0,7.831,22.408,0.188,7.620,4.885,4.542,5.108,3.310,4.551,0.402
Track_91,22,0,0,0,0,0,21,37,58,78.857,91,91,563.471,245.663,0,10.637,22.247,1.816,9.239,6.127,4.453,4.700,4.196,4.464,0.132
Track_96,30,1,1,0,0,0,30,41,71,93.395,96,96,240.412,44.454,0,7.775,15.422,0.457,7.852,3.893,4.330,4.771,3.276,4.398,0.304
Track_103,52,0,0,0,0,0,51,45,96,122.052,103,103,284.932,588.781,0,10.306,24.751,1.537,9.906,5.320,5.200,5.634,4.399,5.225,0.239
Track_105,38,6,3,0,0,0,48,46,94,96.468,105,105,210.424,21.198,0,7.477,21.901,0.822,6.102,4.855,4.199,5.301,3.152,4.260,0.444
Track_109,37,1,1,0,0,0,37,49,86,34.528,109,109,263.012,305.904,0,5.518,24.601,0.633,3.816,4.934,4.242,4.532,3.344,4.276,0.189
Track_119,26,4,4,0,0,0,35,60,95,47.883,119,119,16.263,237.204,0,8.871,23.239,0.000,6.857,6.763,3.628,4.565,3.025,3.627,0.430
Track_128,28,1,1,0,0,0,28,68,96,77.831,128,128,467.149,12.532,0,13.213,23.519,0.650,13.100,5.199,4.783,5.326,3.312,4.920,0.438
Track_129,28,1,1,0,0,0,28,68,96,19.620,129,129,244.957,29.904,0,7.617,24.851,0.948,6.597,5.686,4.565,5.066,3.831,4.563,0.249
Track_133,25,1,2,0,0,0,26,68,94,23.574,133,133,589.640,255.092,0,7.216,19.756,0.495,6.257,5.442,4.453,5.114,3.755,4.480,0.368
Track_137,27,0,0,0,0,0,26,70,96,42.319,137,137,532.545,437.292,0,6.368,19.272,1.147,4.973,5.039,4.391,4.589,4.196,4.375,0.111
Track_145,20,1,3,0,0,0,22,74,96,52.641,145,145,61.874,111.415,0,9.311,20.572,1.918,8.706,5.068,4.590,5.215,3.675,4.733,0.400
