Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID6848 : ID6933),0,6848,6933,8.323,0.500,175.694,349.060,0,2.885,2.885,None
(ID6933 : ID6877),0,6933,6877,7.440,1.500,175.766,349.016,0,2.728,2.728,None
(ID6877 : ID6906),0,6877,6906,0.320,2.500,174.595,349.015,0,0.565,0.565,None
(ID6906 : ID6987),0,6906,6987,16.692,3.500,176.526,347.750,0,4.086,4.086,None
(ID6987 : ID6960),0,6987,6960,0.291,4.500,178.057,346.854,0,0.539,0.539,None
(ID6960 : ID7017),0,6960,7017,6.546,5.500,178.785,347.854,0,2.558,2.558,None
(ID7017 : ID7045),0,7017,7045,1.922,6.500,180.253,348.242,0,1.386,1.386,None
(ID7045 : ID7073),0,7045,7073,1.506,7.500,180.161,347.688,0,1.227,1.227,None
(ID7073 : ID7100),0,7073,7100,0.499,8.500,179.611,347.947,0,0.707,0.707,None
(ID7100 : ID7129),0,7100,7129,4.532,9.500,178.605,348.222,0,2.129,2.129,None
(ID7129 : ID7160),0,7129,7160,2.653,10.500,178.344,348.296,0,1.629,1.629,None
(ID7160 : ID7190),0,7160,7190,4.694,11.500,180.067,349.012,0,2.166,2.166,None
(ID7190 : ID7219),0,7190,7219,0.312,12.500,180.848,349.340,0,0.558,0.558,None
(ID7219 : ID7248),0,7219,7248,4.879,13.500,179.621,348.899,0,2.209,2.209,None
(ID7248 : ID7275),0,7248,7275,1.973,14.500,179.221,348.849,0,1.405,1.405,None
(ID7275 : ID7304),0,7275,7304,1.016,15.500,180.285,349.332,0,1.008,1.008,None
(ID7304 : ID7333),0,7304,7333,3.023,16.500,181.416,350.100,0,1.739,1.739,None
(ID7333 : ID7392),0,7333,7392,2.124,17.500,181.738,349.946,0,1.457,1.457,None
(ID7392 : ID7363),0,7392,7363,5.302,18.500,182.076,350.216,0,2.303,2.303,None
(ID7363 : ID7423),0,7363,7423,0.024,19.500,182.922,351.064,0,0.156,0.156,None
(ID7423 : ID7451),0,7423,7451,8.678,20.500,181.715,350.332,0,2.946,2.946,None
(ID7451 : ID7480),0,7451,7480,4.744,21.500,181.507,349.438,0,2.178,2.178,None
(ID7480 : ID7508),0,7480,7508,0.285,22.500,182.612,349.531,0,0.534,0.534,None
(ID7508 : ID7536),0,7508,7536,4.368,23.500,183.356,350.559,0,2.090,2.090,None
(ID7536 : ID7564),0,7536,7564,0.416,24.500,183.780,351.464,0,0.645,0.645,None
(ID7564 : ID7592),0,7564,7592,0.459,25.500,183.801,351.471,0,0.677,0.677,None
(ID7592 : ID7620),0,7592,7620,2.651,26.500,184.298,352.129,0,1.628,1.628,None
(ID7620 : ID7650),0,7620,7650,0.161,27.500,184.634,353.055,0,0.401,0.401,None
(ID7650 : ID7679),0,7650,7679,1.860,28.500,185.002,352.543,0,1.364,1.364,None
(ID7679 : ID7707),0,7679,7707,2.681,29.500,184.954,352.671,0,1.637,1.637,None
(ID7707 : ID7736),0,7707,7736,0.095,30.500,184.689,353.599,0,0.309,0.309,None
(ID7736 : ID7763),0,7736,7763,0.022,31.500,184.631,353.712,0,0.148,0.148,None
(ID7763 : ID7791),0,7763,7791,5.063,32.500,183.446,353.712,0,2.250,2.250,None
(ID7791 : ID7819),0,7791,7819,1.255,33.500,181.762,353.724,0,1.120,1.120,None
(ID7819 : ID7847),0,7819,7847,0.100,34.500,181.052,353.747,0,0.316,0.316,None
(ID7847 : ID7877),0,7847,7877,1.231,35.500,180.964,353.246,0,1.110,1.110,None
(ID7877 : ID7906),0,7877,7906,3.802,36.500,181.963,352.425,0,1.950,1.950,None
(ID7906 : ID7936),0,7906,7936,1.652,37.500,182.258,352.121,0,1.285,1.285,None
(ID7936 : ID7964),0,7936,7964,2.830,38.500,180.858,351.724,0,1.682,1.682,None
(ID7964 : ID7991),0,7964,7991,3.403,39.500,179.669,352.178,0,1.845,1.845,None
(ID7991 : ID8019),0,7991,8019,2.355,40.500,179.302,352.230,0,1.535,1.535,None
(ID8019 : ID8044),0,8019,8044,0.950,41.500,179.802,351.682,0,0.975,0.975,None
(ID8044 : ID8070),0,8044,8070,0.014,42.500,180.295,351.916,0,0.118,0.118,None
(ID8070 : ID8096),0,8070,8096,1.029,43.500,179.858,351.819,0,1.014,1.014,None
(ID8096 : ID8123),0,8096,8123,0.866,44.500,179.788,351.896,0,0.931,0.931,None
(ID8123 : ID8150),0,8123,8150,0.237,45.500,180.251,352.327,0,0.487,0.487,None
(ID8150 : ID8178),0,8150,8178,1.118,46.500,179.979,352.140,0,1.058,1.058,None
(ID8178 : ID8201),0,8178,8201,0.858,47.500,180.041,351.436,0,0.926,0.926,None
(ID8201 : ID8227),0,8201,8227,0.188,48.500,180.293,351.341,0,0.434,0.434,None
(ID8227 : ID8253),0,8227,8253,0.668,49.500,180.462,351.233,0,0.817,0.817,None
(ID8253 : ID8280),0,8253,8280,1.857,50.500,180.314,350.424,0,1.363,1.363,None
(ID8280 : ID8305),0,8280,8305,0.038,51.500,179.904,349.809,0,0.196,0.196,None
(ID8305 : ID8330),0,8305,8330,0.278,52.500,180.169,349.835,0,0.527,0.527,None
