Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,96,1,1,0,0,0,96,0,96,32.118,0,0,180.210,353.323,0,2.347,19.117,0.118,1.167,3.479,5.128,5.568,4.266,5.156,0.212
Track_11,45,0,0,0,0,0,44,0,44,98.789,11,11,365.221,614.631,0,6.891,12.556,1.526,7.312,3.215,4.602,5.349,3.920,4.476,0.431
Track_14,97,0,0,0,0,0,96,0,96,43.322,14,14,269.515,570.730,0,5.379,15.434,0.299,4.536,3.556,5.090,5.844,3.089,5.248,0.553
Track_15,31,0,0,0,0,0,30,0,30,29.266,15,15,397.257,601.220,0,4.079,18.424,0.314,3.452,3.594,6.014,6.223,5.816,6.020,0.099
Track_17,27,0,0,0,0,0,26,0,26,40.566,17,17,87.819,645.512,0,6.319,17.918,0.650,5.467,4.099,5.175,5.910,4.397,5.272,0.303
Track_22,94,0,0,0,0,0,93,0,93,65.101,22,22,561.465,59.294,0,3.026,14.774,0.157,2.647,2.137,5.166,6.031,4.475,5.157,0.323
Track_27,95,0,0,0,0,0,94,2,96,38.026,27,27,480.085,62.331,0,2.830,15.275,0.095,1.981,2.739,4.523,5.339,3.403,4.584,0.312
Track_30,73,0,0,0,0,0,72,6,78,56.237,30,30,598.948,189.019,0,3.903,21.345,0.273,2.911,3.487,5.351,5.668,3.777,5.425,0.302
Track_34,23,0,0,0,0,0,22,12,34,25.031,34,34,177.254,17.426,0,6.928,19.859,1.823,5.234,4.728,4.871,5.548,4.195,4.858,0.377
Track_37,85,0,0,0,0,0,84,12,96,16.839,37,37,439.846,491.827,0,1.673,18.395,0.071,0.966,2.707,5.344,5.662,4.405,5.359,0.200
Track_41,84,0,0,0,0,0,83,13,96,112.107,41,41,420.826,333.512,0,5.219,20.769,0.253,3.340,4.777,5.454,5.661,4.546,5.504,0.180
Track_42,82,0,0,0,0,0,81,15,96,61.104,42,42,274.456,459.900,0,7.084,22.274,1.227,6.376,4.189,4.864,5.115,4.137,4.884,0.172
Track_43,31,1,1,0,0,0,31,16,47,21.901,43,43,630.126,15.128,0,5.894,21.381,0.233,5.181,5.077,4.030,5.459,3.357,3.766,0.671
Track_50,24,0,0,0,0,0,23,20,43,32.370,50,50,629.058,5.284,0,6.351,15.233,0.884,5.432,3.912,4.526,5.049,3.404,4.569,0.371
Track_57,39,0,0,0,0,0,38,25,63,63.640,57,57,538.094,184.565,0,6.755,22.952,0.408,6.064,5.267,5.207,5.662,4.549,5.217,0.182
Track_58,32,0,0,0,0,0,31,26,57,47.760,58,58,131.859,456.065,0,9.647,22.843,0.906,8.903,5.996,4.688,5.565,4.050,4.615,0.372
Track_59,48,0,0,0,0,0,47,25,72,60.590,59,59,178.973,562.836,0,4.737,18.641,0.421,3.109,4.526,5.405,5.804,4.951,5.463,0.216
Track_66,63,0,0,0,0,0,62,34,96,52.210,66,66,289.752,162.924,0,5.202,20.887,0.434,3.756,4.593,4.875,5.447,4.506,4.858,0.207
Track_74,21,1,2,0,0,0,22,39,61,53.776,74,74,503.235,588.828,0,7.419,16.179,0.363,7.269,4.587,5.165,5.781,4.133,5.347,0.562
Track_79,43,0,0,0,0,0,42,47,89,48.505,79,79,273.932,563.746,0,7.391,21.444,0.462,6.304,5.399,4.538,5.114,3.765,4.560,0.264
Track_90,26,0,0,0,0,0,25,56,81,56.148,90,90,539.631,547.943,0,7.198,14.949,0.680,5.952,4.676,5.025,5.911,3.909,5.216,0.681
Track_96,26,0,0,0,0,0,25,63,88,44.163,96,96,117.133,427.912,0,8.192,23.116,1.317,6.742,5.533,4.607,5.282,3.223,4.933,0.628
Track_103,27,0,0,0,0,0,26,70,96,19.594,103,103,405.715,68.096,0,9.624,22.299,0.995,10.537,5.440,3.480,3.987,3.097,3.451,0.267
Track_106,14,2,4,0,0,0,21,72,93,30.026,106,106,113.330,510.782,0,9.450,19.576,2.063,8.893,5.503,4.379,4.831,3.884,4.414,0.243
